county,state,lat,long,TotalPop,total_votes20,votes20_Donald_Trump,votes20_Joe_Biden,percentage20_Donald_Trump,percentage20_Joe_Biden,cases,deaths,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,Income,IncomePerCap,Poverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
Abbeville,SC,34.22333378,-82.46170658,24788,12433,8215,4101,0.661,0.33,805,17,12044,12744,1.3,68.9,27.6,0.1,0.3,0,35254,19234,22.7,27.2,20.7,20.8,10.6,20.7,78.3,11.1,0.5,1.8,1.8,6.5,25.8,9505,78.8,13.3,7.8,0.1,9.4
Acadia,LA,30.2950649,-92.41419698,62607,28425,22596,5443,0.795,0.191,3182,102,30433,32174,2.4,77.5,17.6,0.1,0.1,0,40492,21591,21.5,27.6,16.9,25.7,15,14.8,83.2,10.3,0.2,1.6,2.2,2.5,27.6,24982,80,12.1,7.6,0.3,8.9
Accomack,VA,37.76707161,-75.63234615,32840,16938,9172,7578,0.542,0.447,1227,19,16079,16761,8.8,60.3,28.3,0.3,0.7,0,42260,24266,19.8,31.1,17.7,18.8,15.1,17.3,80,10.6,0.5,2.6,1.8,4.5,22,13837,74.6,18.1,7.1,0.2,5.4
Ada,ID,43.4526575,-116.2415516,435117,259389,130699,120539,0.504,0.465,17451,181,217999,217118,7.9,85.2,1.2,0.4,2.6,0.1,60151,31642,11.8,43,16.6,25,6.9,8.4,80.7,7.7,0.5,1.5,2.8,6.9,20.4,214984,78.3,15,6.6,0.1,4.3
Adair,IA,41.33075609,-94.47105874,7192,4183,2917,1197,0.697,0.286,222,1,3552,3640,1.7,96.6,0.3,0,0.4,0,49477,28861,9.5,28.2,16.9,20,17.3,17.6,77.9,12.4,0.3,2.8,0.4,6.2,22.3,3680,73.8,15.3,10.4,0.5,3
Adair,KY,37.10459774,-85.28129668,19304,8766,7275,1391,0.83,0.159,517,22,9632,9672,1.8,93.4,3.6,0.1,0.1,0,36575,18408,21.5,28.5,15.9,19.7,12.2,23.8,84.5,9,0,2.6,0.5,3.4,22.2,7988,74.1,15.8,9.9,0.1,6.2
Adair,MO,40.19058551,-92.60078167,25437,10337,6391,3705,0.618,0.358,578,0,12013,13424,2.3,90.5,2.4,0.2,2.3,0.1,38750,21778,26.2,36.8,18.2,24.1,9.4,11.5,77.3,12.1,0.1,4,2.6,4,17.1,11274,73.6,20.9,5.3,0.2,5.5
Adair,OK,35.88494195,-94.65859267,22136,7108,5585,1387,0.786,0.195,855,11,10987,11149,6.4,40.8,0.3,41.7,0.6,0.2,33366,16576,30.8,23.9,17.6,19.4,14,25.2,84.4,8.5,0.1,2.8,1,3.2,23.1,8130,71.6,20.4,7.5,0.5,5.5
Adams,CO,39.87432092,-104.3362578,487850,234599,94874,132951,0.404,0.567,15538,263,245840,242010,39.3,51.1,3,0.5,3.8,0.1,64087,27487,12.2,29.8,18.9,24.1,13.7,13.5,77.7,11.2,3.8,1.2,1.1,5,29.2,246450,83.6,11.2,5.1,0.1,5.1
Adams,IA,41.02903567,-94.69932645,3785,2158,1528,590,0.708,0.273,87,1,1870,1915,1.2,96.8,0.4,0.1,0.6,0,49745,27022,11.2,37.4,14.3,17,13.1,18.3,80.7,9.6,0.2,3.3,0.8,5.3,19.6,1796,72,12.1,15.5,0.3,4.2
Adams,ID,44.89333571,-116.4545247,3946,2586,1941,591,0.751,0.229,65,2,2021,1925,3.3,92.7,0.3,1.2,0,0.2,42727,24315,13.8,33.1,19.4,21.2,13.9,12.5,69,13.1,0.8,4.4,1.8,10.9,24.1,1539,65.4,22,12.5,0,8.7
Adams,IL,39.98815591,-91.18786813,66787,33434,24131,8569,0.722,0.256,2223,25,32698,34089,1.5,92,3.9,0.2,0.8,0.1,48454,27256,13.1,31.8,17.4,26.1,8.9,15.8,82.6,8.6,0.4,2.3,1.5,4.5,17,32243,83.1,10.6,6.1,0.1,5.5
