county,state,cases_per_capita_100k,deaths_per_capita_100k,pop_per_sq_mile_2010
Abbeville,SC,4.077139479,0,51.8
Acadia,LA,1.611733419,0,94.3
Accomack,VA,3.094442381,0,73.8
Ada,ID,0.207646801,0,372.8
Adair,IA,13.98210291,0,13.5
Adair,MO,7.891725526,0,45.1
Adair,OK,9.011444535,0,39.6
Adair,KY,15.62337257,0,46
Adams,IN,2.795091819,0,101.4
Adams,CO,0.386532437,0,378.2
Adams,NE,3.188470491,0,55.7
Adams,PA,0.97078896,0,195.5
Adams,IL,1.528234125,0,78.5
Adams,MS,3.258071873,0,69.8
Adams,WA,5.004253616,0,9.7
Adams,ID,23.28830927,0,2.9
Adams,WI,4.945598417,0,32.3
Adams,OH,3.61036898,0,48.9
Adams,IA,27.76235425,0,9.5
Addison,VT,2.719090736,0,48
Aiken,SC,0.585233391,0,149.5
Aitkin,MN,6.294850812,0,8.9
Alachua,FL,0.371687797,0,282.7
Alamance,NC,1.769817532,0,356.5
Alameda,CA,0.059832624,0,2043.6
Alamosa,CO,6.160290766,0,21.4
Albany,NY,0.654651627,0,581.9
Albany,WY,2.572016461,0,8.5
Albemarle,VA,0.914662032,0,137.3
Alcona,MI,9.610764056,0,16.2
Alcorn,MS,2.706140232,0,92.6
Aleutians East Borough,AK,29.96703626,0,0.4
Aleutians West Census Area,AK,53.24813632,0,1.3
Alexander,NC,2.666880017,0,143.1
Alexander,IL,17.35809755,0,35
Alexandria city,VA,0.627242392,0,9314.3
Alfalfa,OK,17.53770607,0,6.5
Alger,MI,10.97935881,0,10.5
Allamakee,IA,14.61240593,0,22.4
Allegan,MI,0.846876297,0,135
Allegany,NY,4.339241934,0,47.6
Allegany,MD,1.420131788,0,177
Alleghany,NC,8.979078747,0,47.5
Alleghany,VA,6.729475101,0,36.5
Allegheny,PA,0.082233799,0,1675.6
Allen,IN,0.263644249,0,540.6
Allen,KY,4.691531785,0,58
Allen,LA,7.804268935,0,33.8
Allen,OH,1.954060048,0,264.2
Allendale,SC,11.51012891,0,25.5
Alpena,MI,3.520506953,0,51.8
Alpine,CA,88.57395926,0,1.6
Amador,CA,2.5155967,0,64.1
Amelia,VA,7.607455306,0,35.7
Amherst,VA,3.16405632,0,68.3
Amite,MS,8.132064731,0,18
Anchorage,AK,0.347222222,0,171.2
Anderson,SC,0.987371518,0,261.6
Anderson,TN,1.299072462,0,222.8
Anderson,KY,4.396184112,4.396184112,106.1
Anderson,TX,1.732051615,0,55
Anderson,KS,12.72588445,0,14
Andrew,MO,5.645889792,0,40
Andrews,TX,5.346164127,0,9.9
Androscoggin,ME,0.923557173,0,230.2
Angelina,TX,1.153203021,0,108.8
Anne Arundel,MD,0.172641799,0,1295.9
Anoka,MN,0.280174044,0,782.1
Anson,NC,4.090648777,0,50.7
Antelope,NE,15.87805653,0,7.8
Antrim,MI,8.574858515,0,49.6
Apache,AZ,4.173216298,0,6.4
Appanoose,IA,8.047642041,0,25.9
Appling,GA,10.87784184,0,36
Appomattox,VA,6.284960091,0,44.9
Aransas,TX,4.253509145,0,91.9
Arapahoe,CO,0.152302045,0,716.7
Archer,TX,11.69180405,0,10
Archuleta,CO,7.12809181,0,8.9
Arenac,MI,6.719075455,0,43.8
Arkansas,AR,5.718860803,0,19.2
Arlington,VA,0.84444482,0,7993.6
Armstrong,PA,1.544759404,0,105.5
Armstrong,TX,52.99417064,0,2.1
Aroostook,ME,1.491313101,0,10.8
Ascension,LA,0.789864459,0,369.7
Ashe,NC,3.67606514,0,64
Ashland,OH,1.869718047,0,125.6
Ashland,WI,6.425909266,0,15.5
Ashley,AR,5.087246274,0,23.6
Ashtabula,OH,1.028372806,0,144.6
Asotin,WA,4.42830573,0,34
Assumption,LA,4.568087342,0,69.2
Atascosa,TX,3.90983911,0,36.8
Atchison,MO,19.44390434,0,10.4
Atchison,KS,6.221613887,0,39.3
Athens,OH,1.530760635,0,128.6
Atkinson,GA,36.74219228,0,24.7
Atlantic,NJ,1.137785869,0,494.1
Atoka,OK,7.268498328,0,14.5
Attala,MS,5.502366017,0,26.6
Audrain,MO,3.938868757,0,36.9
Audubon,IA,18.19505095,0,13.8
Auglaize,OH,2.190292623,0,114.5
Augusta,VA,1.323486593,0,76.3
Aurora,SD,36.35041803,0,3.8
Austin,TX,3.329781566,0,44
Autauga,AL,1.789901376,0,91.8
Avery,NC,5.695733895,0,72
Avoyelles,LA,2.491032284,0,50.5
Baca,CO,27.92516057,0,1.5
Bacon,GA,8.957362952,0,42.9
Bailey,TX,14.28571429,0,8.7
Baker,FL,3.423485108,0,46.3
Baker,GA,98.74917709,32.91639236,10.1
Baker,OR,6.201935004,0,5.3
Baldwin,AL,0.447960436,0,114.6
Baldwin,GA,4.455335264,0,177.3
Ballard,KY,12.67748479,0,33.4
Baltimore,MD,0.120864909,0,1345.5
Baltimore city,MD,0.168494836,0,7671.5
Bamberg,SC,14.21868335,0,40.6
Bandera,TX,4.326756663,0,25.9
Banks,GA,5.199126547,0,79.3
Banner,NE,134.2281879,0,0.9
Bannock,ID,2.277696793,0,74.5
Baraga,MI,12.18175174,0,9.9
Barber,KS,22.58866049,0,4.3
Barbour,WV,6.082355088,0,48.6
Barbour,AL,4.050879041,0,31
Barnes,ND,19.20307249,0,7.4
Barnstable,MA,0.469505611,0,548.3
Barnwell,SC,4.792485383,0,41.2
Barren,KY,2.259938078,0,86.5
Barron,WI,6.630713465,0,53.2
Barrow,GA,1.201345507,1.201345507,432.7
Barry,MI,1.62469537,0,107
Barry,MO,2.794154629,0,45.7
Bartholomew,IN,1.193616539,0,188.7
Barton,KS,3.879126421,0,30.9
Barton,MO,8.507742045,0,21
Bartow,GA,2.784532848,0,217.9
Bastrop,TX,1.127103457,0,83.5
