county,state,AGE_OTO4,AGE_5TO14,AGE_15TO24,AGE_25TO34,AGE_35TO44,AGE_45TO54,AGE_55TO64,AGE_65TO74,AGE_75TO84,AGE_84PLUS
Abbeville ,SC,1151,2850,3206,2658,2544,3205,3584,3150,1602,591
Acadia Parish,LA,4373,9029,7778,8281,7431,7561,8246,5508,2842,1141
Accomack ,VA,1810,3743,3120,3617,3322,3892,5270,4451,2301,886
Ada ,ID,27274,64428,60582,67279,66237,59759,56615,42027,18576,7189
Adair ,IA,384,860,744,787,750,806,1129,805,483,315
Adair ,KY,1059,2106,2988,2245,2055,2508,2683,2100,1099,372
Adair ,MO,1276,2556,7843,2622,2161,2453,2673,2067,1162,526
Adair ,OK,1637,3234,2833,2666,2626,2798,2776,2086,1090,336
Adams ,CO,36180,76990,66943,83695,75524,63419,55530,33423,14702,5462
Adams ,ID,169,453,327,359,384,434,903,771,350,100
Adams ,IL,4145,8169,7593,7977,7452,7809,9256,6862,4077,2351
Adams ,IN,3327,6096,4740,4146,3819,3856,4128,2977,1643,904
Adams ,IA,212,437,347,398,369,411,630,447,279,115
Adams ,MS,1821,3382,3405,4137,4135,3659,4779,3399,1736,739
Adams ,NE,2085,4104,4729,3720,3427,3458,4252,3208,1668,860
Adams ,ND,117,245,199,247,230,236,381,312,204,123
Adams ,OH,1651,3751,3247,3064,3234,3727,4079,2911,1573,487
Adams ,PA,5121,11683,13303,11203,10812,14239,15496,12058,6215,2681
Adams ,WA,1907,4068,2979,2478,2204,1988,1950,1336,607,242
Adams ,WI,693,1692,1676,1958,1957,2513,3936,3521,1883,519
Addison ,VT,1572,3500,6249,3770,3951,4839,5735,4554,1996,807
Aiken ,SC,9800,20628,19598,21516,19467,21230,24261,19588,9811,3502
Aitkin ,MN,594,1595,1299,1221,1319,1720,2903,2978,1738,535
Alachua ,FL,14113,26947,63759,42246,29470,26331,29254,22747,10490,4599
Alamance ,NC,9632,20795,23870,20725,19106,22391,21790,15811,8636,3680
Alameda ,CA,96716,190795,193016,279197,251174,222163,203182,136407,63683,30420
Alamosa ,CO,1088,2282,3543,2327,1808,1560,1804,1376,661,234
Albany ,NY,15326,30932,55095,40733,35263,37257,40438,29769,14537,7767
Albany ,WY,1843,3476,11707,6168,4003,3103,3771,2851,1229,450
