county,state,evangelicals,mainline protestant,catholic,orthodox,muslim,other
Abbeville ,SC,10481,2304,121,63,0,25
Acadia Parish,LA,6460,904,29701,0,0,3
Accomack ,VA,5254,6781,817,0,0,226
Ada ,ID,52126,22441,26302,420,924,67288
Adair ,IA,1660,1781,431,0,0,0
Adair ,KY,4478,2011,140,0,0,2
Adair ,MO,6123,2622,1400,0,0,861
Adair ,OK,10325,741,0,0,0,36
Adams ,CO,34568,7133,70598,0,616,17157
Adams ,ID,364,130,324,0,0,184
Adams ,IL,26498,8972,15163,50,0,1094
Adams ,IN,17831,3439,3605,0,0,307
Adams ,IA,215,946,249,0,0,1
Adams ,MS,12036,2475,2017,0,0,372
Adams ,NE,6385,6729,4881,0,0,531
Adams ,ND,380,1277,726,0,0,0
Adams ,OH,4464,1679,500,0,0,322
Adams ,PA,10510,18854,15049,0,0,957
Adams ,WA,2212,1527,2024,0,0,2248
Adams ,WI,839,1511,1700,0,0,289
Addison ,VT,801,3491,5892,0,0,560
Aiken ,SC,66138,12303,8400,104,0,1949
Aitkin ,MN,1725,3201,1357,0,0,221
Alachua ,FL,47845,18361,20004,233,2794,10974
Alamance ,NC,33181,22314,3068,109,0,1368
Alameda ,CA,123422,40185,231500,6640,29941,87110
Alamosa ,CO,2191,691,6996,0,0,1567
Albany ,NY,15873,17188,85267,2025,4567,14472
Albany ,WY,2441,2434,4627,0,308,3570
Albemarle ,VA,12610,9671,166,0,0,2362
Alcona ,MI,756,1148,799,0,0,168
Alcorn ,MS,20184,2461,443,0,0,489
Aleutians East Borough,AK,134,0,0,599,0,8
Aleutians West Census Area,AK,232,82,185,754,0,112
Alexander ,IL,1996,470,473,0,0,38
Alexander ,NC,16696,4648,477,0,0,2
Alexandria city,VA,11290,16973,18596,400,3436,9879
Alfalfa ,OK,1621,2128,272,0,0,0
Alger ,MI,908,761,2483,0,0,2
Allamakee ,IA,514,4785,3426,0,0,528
Allegan ,MI,9314,10526,10071,42,0,1583
Allegany ,MD,11015,13964,8838,0,308,1200
Allegany ,NY,4881,4798,4313,0,0,244
Alleghany ,NC,3433,910,197,0,0,74
Alleghany ,VA,2908,2512,111,0,0,0
Allegheny ,PA,78101,139551,460672,9606,5822,38781
Allen ,IN,87855,31461,56898,931,1108,3723
Allen ,KS,2926,3254,1440,0,0,604
Allen ,KY,4602,1383,102,0,0,3
Allen ,OH,17301,14934,17946,0,616,950
Allen Parish,LA,6749,345,4650,0,0,183
Allendale ,SC,1868,1112,115,0,0,20
Alpena ,MI,4111,4483,6744,0,0,554
Alpine ,CA,50,0,0,0,0,0
Amador ,CA,3288,766,3887,150,0,1216
Amelia ,VA,3196,1164,218,0,0,5
Amherst ,VA,9624,3527,184,0,0,4
Amite ,MS,4715,201,48,0,0,397
Anchorage Municipality,AK,44678,11427,22969,2215,924,20387
Anderson ,KS,1514,1001,1754,0,0,1
Anderson ,KY,9471,1881,850,0,0,5
Anderson ,SC,97855,11775,2851,50,0,1146
Anderson ,TN,36312,7220,3295,280,0,1434
Anderson ,TX,20569,2477,4476,0,0,365
Andrew ,MO,2907,2222,476,0,0,11
Andrews ,TX,5605,967,2100,0,0,121
Androscoggin ,ME,6383,5082,24480,225,308,1097
Angelina ,TX,35686,5986,10628,33,2541,3217
Anne Arundel ,MD,44446,49450,95116,3250,1116,7076
Anoka ,MN,49709,36549,75535,195,616,2179
Anson ,NC,8240,2285,176,0,0,25
Antelope ,NE,1553,1149,2082,0,0,189
Antrim ,MI,2105,2253,2194,0,0,17
Apache ,AZ,3834,715,15000,0,0,15377
Appanoose ,IA,1679,2205,1094,0,0,106
Appling ,GA,12109,1472,742,0,0,1
Appomattox ,VA,3623,1832,155,0,0,3
Aransas ,TX,4398,1629,4095,0,0,278
Arapahoe ,CO,64204,28266,69031,1780,10616,26495
Archer ,TX,4360,489,1018,0,0,1
Archuleta ,CO,1743,335,5643,0,0,1682
Arenac ,MI,1677,1116,4520,0,0,169
Arkansas ,AR,9709,2500,300,0,0,37
Arlington ,VA,7935,14918,30311,0,3436,7149
Armstrong ,PA,6909,17886,11961,0,0,0
Armstrong ,TX,1099,375,0,0,0,0
Aroostook ,ME,4411,5845,22200,10,0,957
Arthur ,NE,0,314,0,0,0,0
Ascension Parish,LA,11643,1849,36475,0,0,1001
Ashe ,NC,9744,2724,592,0,0,7
Ashland ,OH,13723,7318,1509,42,308,568
Ashland ,WI,2633,2078,4952,0,0,334
Ashley ,AR,14265,1009,694,0,0,87
Ashtabula ,OH,9418,11475,14134,0,0,559
Asotin ,WA,1930,1192,2529,0,0,1606
Assumption Parish,LA,1085,202,13528,0,0,1
Atascosa ,TX,7844,1888,13637,0,0,694
Atchison ,KS,2481,3620,2720,0,0,186
Atchison ,MO,1561,2216,141,0,0,4
Athens ,OH,5093,5174,1946,0,308,890
Atkinson ,GA,1810,298,152,0,0,464
