,county,state,lat,long,TotalPop,total_votes20,votes20_Donald_Trump,votes20_Joe_Biden,percentage20_Donald_Trump,percentage20_Joe_Biden,cases,deaths,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,Income,IncomePerCap,Poverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
0,Abbeville,SC,34.22333378,-82.46170658,24788.0,12433.0,8215.0,4101.0,0.6609999999999999,0.33,805.0,17.0,12044.0,12744.0,1.3,68.9,27.6,0.1,0.3,0.0,35254.0,19234.0,22.7,27.2,20.7,20.8,10.6,20.7,78.3,11.1,0.5,1.8,1.8,6.5,25.8,9505.0,78.8,13.3,7.8,0.1,9.4
1,Acadia,LA,30.295064899999996,-92.41419698,62607.0,28425.0,22596.0,5443.0,0.795,0.191,3182.0,102.0,30433.0,32174.0,2.4,77.5,17.6,0.1,0.1,0.0,40492.0,21591.0,21.5,27.6,16.9,25.7,15.0,14.8,83.2,10.3,0.2,1.6,2.2,2.5,27.6,24982.0,80.0,12.1,7.6,0.3,8.9
2,Accomack,VA,37.76707161,-75.63234615,32840.0,16938.0,9172.0,7578.0,0.542,0.447,1227.0,19.0,16079.0,16761.0,8.8,60.3,28.3,0.3,0.7,0.0,42260.0,24266.0,19.8,31.1,17.7,18.8,15.1,17.3,80.0,10.6,0.5,2.6,1.8,4.5,22.0,13837.0,74.6,18.1,7.1,0.2,5.4
3,Ada,ID,43.4526575,-116.24155159999998,435117.0,259389.0,130699.0,120539.0,0.504,0.465,17451.0,181.0,217999.0,217118.0,7.9,85.2,1.2,0.4,2.6,0.1,60151.0,31642.0,11.8,43.0,16.6,25.0,6.9,8.4,80.7,7.7,0.5,1.5,2.8,6.9,20.4,214984.0,78.3,15.0,6.6,0.1,4.3
4,Adair,IA,41.33075609,-94.47105874,7192.0,4183.0,2917.0,1197.0,0.6970000000000001,0.28600000000000003,222.0,1.0,3552.0,3640.0,1.7,96.6,0.3,0.0,0.4,0.0,49477.0,28861.0,9.5,28.2,16.9,20.0,17.3,17.6,77.9,12.4,0.3,2.8,0.4,6.2,22.3,3680.0,73.8,15.3,10.4,0.5,3.0
5,Adair,KY,37.10459774,-85.28129668,19304.0,8766.0,7275.0,1391.0,0.83,0.159,517.0,22.0,9632.0,9672.0,1.8,93.4,3.6,0.1,0.1,0.0,36575.0,18408.0,21.5,28.5,15.9,19.7,12.2,23.8,84.5,9.0,0.0,2.6,0.5,3.4,22.2,7988.0,74.1,15.8,9.9,0.1,6.2
6,Adair,MO,40.19058551,-92.60078167,25437.0,10337.0,6391.0,3705.0,0.618,0.358,578.0,0.0,12013.0,13424.0,2.3,90.5,2.4,0.2,2.3,0.1,38750.0,21778.0,26.2,36.8,18.2,24.1,9.4,11.5,77.3,12.1,0.1,4.0,2.6,4.0,17.1,11274.0,73.6,20.9,5.3,0.2,5.5
7,Adair,OK,35.88494195,-94.65859267,22136.0,7108.0,5585.0,1387.0,0.7859999999999999,0.195,855.0,11.0,10987.0,11149.0,6.4,40.8,0.3,41.7,0.6,0.2,33366.0,16576.0,30.8,23.9,17.6,19.4,14.0,25.2,84.4,8.5,0.1,2.8,1.0,3.2,23.1,8130.0,71.6,20.4,7.5,0.5,5.5
8,Adams,CO,39.87432092,-104.3362578,487850.0,234599.0,94874.0,132951.0,0.40399999999999997,0.5670000000000001,15538.0,263.0,245840.0,242010.0,39.3,51.1,3.0,0.5,3.8,0.1,64087.0,27487.0,12.2,29.8,18.9,24.1,13.7,13.5,77.7,11.2,3.8,1.2,1.1,5.0,29.2,246450.0,83.6,11.2,5.1,0.1,5.1
9,Adams,IA,41.02903567,-94.69932645,3785.0,2158.0,1528.0,590.0,0.708,0.273,87.0,1.0,1870.0,1915.0,1.2,96.8,0.4,0.1,0.6,0.0,49745.0,27022.0,11.2,37.4,14.3,17.0,13.1,18.3,80.7,9.6,0.2,3.3,0.8,5.3,19.6,1796.0,72.0,12.1,15.5,0.3,4.2
