TOTCNG,TOTADH,TOTRATE,EVANADH,BPRTADH,MPRTADH,CATHADH,ORTHADH,OTHADH,MSLMADH,FIPS,STCODE,STABBR,STNAME,CNTYCODE,CNTYNAME,POP2010
106,36938,676.8788889,27503,2291,4522,1766,,856,,1001,1,AL,Alabama,1,Autauga County,54571
271,96918,531.74,57986,3130,20075,14009,190,1528,,1003,1,AL,Alabama,3,Baldwin County,182265
89,15101,549.99,8793,3328,2140,575,,265,,1005,1,AL,Alabama,5,Barbour County,27457
81,11430,498.8,10159,966,302,,,3,,1007,1,AL,Alabama,7,Bibb County,22915
156,37352,651.62,29223,58,3035,4744,,292,,1009,1,AL,Alabama,9,Blount County,57322
47,6300,577.24,2152,3445,601,49,,53,,1011,1,AL,Alabama,11,Bullock County,10914
92,12278,586.1488889,8653,1657,1653,77,,238,,1013,1,AL,Alabama,13,Butler County,20947
281,84615,713.62,67564,5163,7066,3192,40,1590,308,1015,1,AL,Alabama,15,Calhoun County,118572
119,22251,650.33,12903,5780,3080,249,,239,,1017,1,AL,Alabama,17,Chambers County,34215
79,12455,479.24,10865,,1590,,,,,1019,1,AL,Alabama,19,Cherokee County,25989
122,30488,698.58,26608,1116,1805,709,,250,,1021,1,AL,Alabama,21,Chilton County,43643
83,9721,701.4188889,6080,2635,789,60,,157,,1023,1,AL,Alabama,23,Choctaw County,13859
122,20470,792.3988889,13634,5098,1632,11,,95,,1025,1,AL,Alabama,25,Clarke County,25833
69,10305,739.6588889,8899,181,1038,186,,1,,1027,1,AL,Alabama,27,Clay County,13932
66,11463,765.6288889,10435,183,844,,,1,,1029,1,AL,Alabama,29,Cleburne County,14972
120,33021,661.11,25889,1320,3457,1550,,805,,1031,1,AL,Alabama,31,Coffee County,49948
140,37805,694.59,29759,3256,3368,1415,,7,,1033,1,AL,Alabama,33,Colbert County,54428
62,7550,570.7588889,4297,2000,981,,,272,,1035,1,AL,Alabama,35,Conecuh County,13228
49,6148,532.7988889,4180,1388,577,,,3,,1037,1,AL,Alabama,37,Coosa County,11539
126,23386,619.25,20052,677,2093,291,,273,,1039,1,AL,Alabama,39,Covington County,37765
68,8784,631.6688889,7442,244,875,,,223,,1041,1,AL,Alabama,41,Crenshaw County,13906
227,62799,781.0188889,53863,,3698,4614,,624,,1043,1,AL,Alabama,43,Cullman County,80406
109,24732,492.17,17979,1891,3712,278,,872,,1045,1,AL,Alabama,45,Dale County,50251
140,26546,605.7988889,16764,6398,2438,536,,410,30,1047,1,AL,Alabama,47,Dallas County,43820
184,39370,553.6588889,32536,,3925,2657,,252,,1049,1,AL,Alabama,49,DeKalb County,71109
141,37247,469.68,28235,1902,5902,677,,531,,1051,1,AL,Alabama,51,Elmore County,79303
124,23014,600.59,17917,2164,1849,530,,554,,1053,1,AL,Alabama,53,Escambia County,38319
256,84006,804.4188889,64316,4813,5816,7624,,1437,616,1055,1,AL,Alabama,55,Etowah County,104430
94,11039,640.2788889,9490,541,795,90,,123,,1057,1,AL,Alabama,57,Fayette County,17241
102,20416,643.96,16733,526,1195,1487,,475,,1059,1,AL,Alabama,59,Franklin County,31704
102,16488,615.45,12807,1156,1960,50,,515,308,1061,1,AL,Alabama,61,Geneva County,26790
28,2425,268.1,1134,857,375,37,,22,,1063,1,AL,Alabama,63,Greene County,9045
69,9531,604.7588889,4362,3493,1386,25,100,165,,1065,1,AL,Alabama,65,Hale County,15760
43,8195,473.6388889,6025,1266,904,,,,,1067,1,AL,Alabama,67,Henry County,17302
210,81059,798.24,60486,3855,12245,2551,40,1882,616,1069,1,AL,Alabama,69,Houston County,101547
145,28922,543.37,24116,845,2116,1515,,330,,1071,1,AL,Alabama,71,Jackson County,53227
1198,552254,838.7,308984,106653,67037,55083,1424,13073,3348,1073,1,AL,Alabama,73,Jefferson County,658466
90,11042,758.1688889,8902,1085,1055,,,,,1075,1,AL,Alabama,75,Lamar County,14564
206,54063,583.1488889,40963,2346,8079,1948,,727,,1077,1,AL,Alabama,77,Lauderdale County,92709
81,17919,521.83,15711,944,1175,87,,2,,1079,1,AL,Alabama,79,Lawrence County,34339
175,56996,406.3988889,30090,7368,15250,2872,,1416,308,1081,1,AL,Alabama,81,Lee County,140247
166,43018,519.6488889,33582,866,4899,2462,,1209,,1083,1,AL,Alabama,83,Limestone County,82782
50,6217,550.23,2439,2265,1512,,,1,,1085,1,AL,Alabama,85,Lowndes County,11299
67,9583,446.72,2695,4945,1164,100,,679,368,1087,1,AL,Alabama,87,Macon County,21452
432,168830,504.25,105503,6710,35533,14157,340,6587,924,1089,1,AL,Alabama,89,Madison County,334811
88,16244,772.5288889,10671,3057,1906,386,,224,,1091,1,AL,Alabama,91,Marengo County,21027
112,18828,611.7788889,16308,366,1460,474,,220,,1093,1,AL,Alabama,93,Marion County,30776
216,60942,655.1588889,43707,372,7868,8382,,613,,1095,1,AL,Alabama,95,Marshall County,93019
599,253133,612.9188889,149286,34124,30312,32003,724,6684,1540,1097,1,AL,Alabama,97,Mobile County,412992
88,14959,648.47,8597,4578,1377,100,,307,,1099,1,AL,Alabama,99,Monroe County,23068
354,159955,697.3888889,69894,44089,31983,9480,85,4424,968,1101,1,AL,Alabama,101,Montgomery County,229363
250,83260,696.7888889,59647,2605,11687,8380,,941,,1103,1,AL,Alabama,103,Morgan County,119490
44,5710,539.1388889,2905,1864,936,,,5,,1105,1,AL,Alabama,105,Perry County,10591
98,13500,683.6788889,9795,1716,1603,74,,312,308,1107,1,AL,Alabama,107,Pickens County,19746
89,16755,509.29,10098,3675,2442,215,,325,,1109,1,AL,Alabama,109,Pike County,32899
106,13134,573.21,9053,1953,1978,149,,1,,1111,1,AL,Alabama,111,Randolph County,22913
133,36790,694.85,23650,8303,2444,1595,,798,,1113,1,AL,Alabama,113,Russell County,52947
154,39768,475.73,34066,1778,2856,1056,,12,,1115,1,AL,Alabama,115,St. Clair County,83593
230,85708,439.3388889,61933,2421,16076,2883,58,2337,308,1117,1,AL,Alabama,117,Shelby County,195085
52,4970,361.11,2664,1499,769,37,,1,,1119,1,AL,Alabama,119,Sumter County,13763
209,44005,534.75,33499,3645,4538,1769,,554,,1121,1,AL,Alabama,121,Talladega County,82291
142,28905,694.5588889,19714,3526,4580,894,,191,,1123,1,AL,Alabama,123,Tallapoosa County,41616
311,104315,535.8888889,71803,14428,12415,3729,,1940,308,1125,1,AL,Alabama,125,Tuscaloosa County,194656
217,43800,653.5088889,39118,1087,2552,523,,520,,1127,1,AL,Alabama,127,Walker County,67023
88,10284,584.95,7391,1621,1242,30,,,,1129,1,AL,Alabama,129,Washington County,17581
72,7124,610.45,3442,3007,568,12,,95,,1131,1,AL,Alabama,131,Wilcox County,11670
75,14974,611.58,13499,,1117,223,,135,,1133,1,AL,Alabama,133,Winston County,24484
8,741,235.9088889,134,,,,599,8,,2013,2,AK,Alaska,13,Aleutians East Borough,3141
12,1365,245.46,232,,82,185,754,112,,2016,2,AK,Alaska,16,Aleutians West Census Area,5561
326,102804,352.2788889,44678,1128,11427,22969,2215,20387,924,2020,2,AK,Alaska,20,Anchorage Municipality,291826
55,9011,529.6488889,501,,2216,3244,2852,198,,2050,2,AK,Alaska,50,Bethel Census Area,17013
6,293,293.8788889,6,,,60,226,1,,2060,2,AK,Alaska,60,Bristol Bay Borough,997
8,509,278.75,310,,,112,,87,,2068,2,AK,Alaska,68,Denali Borough,1826
25,2502,516.2,442,,436,578,988,58,,2070,2,AK,Alaska,70,Dillingham Census Area,4847
123,28104,288.0088889,13987,471,3969,4195,135,5347,,2090,2,AK,Alaska,90,Fairbanks North Star Borough,97581
16,877,349.68,344,,149,185,,199,,2100,2,AK,Alaska,100,Haines Borough,2508
15,633,294.42,198,,21,125,200,89,,2105,2,AK,Alaska,105,Hoonah-Angoon Census Area,2150
47,8969,286.7788889,2867,,1933,1900,150,2119,,2110,2,AK,Alaska,110,Juneau City and Borough,31275
123,17843,322.0788889,9688,,1407,2810,859,3079,,2122,2,AK,Alaska,122,Kenai Peninsula Borough,55400
31,4246,315.06,1917,,643,920,,766,,2130,2,AK,Alaska,130,Ketchikan Gateway Borough,13477
34,3818,280.8988889,1239,,217,500,1399,463,,2150,2,AK,Alaska,150,Kodiak Island Borough,13592
10,1148,703.86,,,,,1143,5,,2164,2,AK,Alaska,164,Lake and Peninsula Borough,1631
116,26656,299.5188889,15076,193,2271,3354,112,5650,,2170,2,AK,Alaska,170,Matanuska-Susitna Borough,88995
35,4463,470.1888889,1127,,2198,880,100,158,,2180,2,AK,Alaska,180,Nome Census Area,9492
17,1539,163.1988889,453,,797,165,,124,,2185,2,AK,Alaska,185,North Slope Borough,9430
25,2385,317.0288889,1644,,408,240,,93,,2188,2,AK,Alaska,188,Northwest Arctic Borough,7523
14,1184,310.35,432,,505,90,15,142,,2195,2,AK,Alaska,195,Petersburg Census Area,3815
30,1759,316.42,965,,145,450,,199,,2198,2,AK,Alaska,198,Prince of Wales-Hyder Census Area,5559
,,,,,,,,,,2201,2,AK,Alaska,201,Prince of Wales-Outer Ketchikan,
21,2895,325.98,928,,802,460,300,405,,2220,2,AK,Alaska,220,Sitka City and Borough,8881
7,270,278.93,2,,65,125,,78,,2230,2,AK,Alaska,230,Skagway Municipality,968
,,,,,,,,,,2231,2,AK,Alaska,231,Skagway-Yakutat-Angoon,
,,,,,,,,,,2232,2,AK,Alaska,232,Skagway-Hoonah-Angoon,
