county,state,county_state,lat,long,totalpop,total_votes20,votes20_donald_trump,votes20_joe_biden,percentage20_donald_trump,percentage20_joe_biden,cases,deaths,men,women,hispanic,white,black,native,asian,pacific,income,incomepercap,poverty,professional,service,office,construction,production,drive,carpool,transit,walk,othertransp,workathome,meancommute,employed,privatework,publicwork,selfemployed,familywork,unemployment,cases_per_capita_100k,deaths_per_capita_100k,pop_per_sq_mile_2010,age_oto4,age_5to14,age_15to24,age_25to34,age_35to44,age_45to54,age_55to64,age_65to74,age_75to84,age_84plus,evangelicals,protestant,catholic,orthodox,muslim,other
Kay,OK,"Kay, OK",36.81799745,-97.14421435,45173,17249,12834,4040,0.744,0.234,920,16,22375,22798,7.6,75.4,2,7.4,0.5,0,44067,24057,17.6,28.2,18.6,23.5,12.8,16.9,83.6,9.6,0.2,3,1.5,2.2,17.5,19325,78.2,16.7,5,0.1,6.9,2.296844136,0,50.6,3013,6286,5467,5349,5075,4738,5694,4632,2724,1183,0,0,0,0,0,0
Abbeville,SC,"Abbeville, SC",34.22333378,-82.46170658,24788,12433,8215,4101,0.661,0.33,805,17,12044,12744,1.3,68.9,27.6,0.1,0.3,0,35254,19234,22.7,27.2,20.7,20.8,10.6,20.7,78.3,11.1,0.5,1.8,1.8,6.5,25.8,9505,78.8,13.3,7.8,0.1,9.4,4.077139479,0,51.8,1151,2850,3206,2658,2544,3205,3584,3150,1602,591,0,0,0,0,0,0
Acadia,LA,"Acadia, LA",30.2950649,-92.41419698,62607,28425,22596,5443,0.795,0.191,3182,102,30433,32174,2.4,77.5,17.6,0.1,0.1,0,40492,21591,21.5,27.6,16.9,25.7,15,14.8,83.2,10.3,0.2,1.6,2.2,2.5,27.6,24982,80,12.1,7.6,0.3,8.9,1.611733419,0,94.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Accomack,VA,"Accomack, VA",37.76707161,-75.63234615,32840,16938,9172,7578,0.542,0.447,1227,19,16079,16761,8.8,60.3,28.3,0.3,0.7,0,42260,24266,19.8,31.1,17.7,18.8,15.1,17.3,80,10.6,0.5,2.6,1.8,4.5,22,13837,74.6,18.1,7.1,0.2,5.4,3.094442381,0,73.8,1810,3743,3120,3617,3322,3892,5270,4451,2301,886,0,0,0,0,0,0
Ada,ID,"Ada, ID",43.4526575,-116.2415516,435117,259389,130699,120539,0.504,0.465,17451,181,217999,217118,7.9,85.2,1.2,0.4,2.6,0.1,60151,31642,11.8,43,16.6,25,6.9,8.4,80.7,7.7,0.5,1.5,2.8,6.9,20.4,214984,78.3,15,6.6,0.1,4.3,0.207646801,0,372.8,27274,64428,60582,67279,66237,59759,56615,42027,18576,7189,0,0,0,0,0,0
Adair,IA,"Adair, IA",41.33075609,-94.47105874,7192,4183,2917,1197,0.697,0.286,222,1,3552,3640,1.7,96.6,0.3,0,0.4,0,49477,28861,9.5,28.2,16.9,20,17.3,17.6,77.9,12.4,0.3,2.8,0.4,6.2,22.3,3680,73.8,15.3,10.4,0.5,3,13.98210291,0,13.5,384,860,744,787,750,806,1129,805,483,315,0,0,0,0,0,0
Adair,MO,"Adair, MO",40.19058551,-92.60078167,25437,10337,6391,3705,0.618,0.358,578,0,12013,13424,2.3,90.5,2.4,0.2,2.3,0.1,38750,21778,26.2,36.8,18.2,24.1,9.4,11.5,77.3,12.1,0.1,4,2.6,4,17.1,11274,73.6,20.9,5.3,0.2,5.5,7.891725526,0,45.1,1276,2556,7843,2622,2161,2453,2673,2067,1162,526,0,0,0,0,0,0
Adair,OK,"Adair, OK",35.88494195,-94.65859267,22136,7108,5585,1387,0.786,0.195,855,11,10987,11149,6.4,40.8,0.3,41.7,0.6,0.2,33366,16576,30.8,23.9,17.6,19.4,14,25.2,84.4,8.5,0.1,2.8,1,3.2,23.1,8130,71.6,20.4,7.5,0.5,5.5,9.011444535,0,39.6,1637,3234,2833,2666,2626,2798,2776,2086,1090,336,0,0,0,0,0,0
Adair,KY,"Adair, KY",37.10459774,-85.28129668,19304,8766,7275,1391,0.83,0.159,517,22,9632,9672,1.8,93.4,3.6,0.1,0.1,0,36575,18408,21.5,28.5,15.9,19.7,12.2,23.8,84.5,9,0,2.6,0.5,3.4,22.2,7988,74.1,15.8,9.9,0.1,6.2,15.62337257,0,46,1059,2106,2988,2245,2055,2508,2683,2100,1099,372,0,0,0,0,0,0
Adams,IN,"Adams, IN",40.7457653,-84.93671406,35018,14238,10685,3236,0.75,0.227,704,8,17361,17657,4.4,93.7,0.9,0,0.4,0,48290,21534,18.9,24.2,15.9,19.6,13.9,26.3,74.3,16.7,0,2.6,1.9,4.5,22.8,14954,83.1,8.2,8.1,0.6,5.2,2.795091819,0,101.4,3327,6096,4740,4146,3819,3856,4128,2977,1643,904,0,0,0,0,0,0
Gem,ID,"Gem, ID",44.06482372,-116.398376,16850,9958,7951,1803,0.798,0.181,452,6,8331,8519,8.3,88,0,0.9,0.7,0,42888,20041,20.7,26.9,22.1,20.6,17.7,12.7,77,10.6,0.1,1.9,2.2,8.2,29.6,6452,72,17,9.7,1.3,6,5.521201413,0,29.8,1052,2238,1954,1833,1904,2113,2677,2247,1222,394,0,0,0,0,0,0
Adams,CO,"Adams, CO",39.87432092,-104.3362578,487850,234599,94874,132951,0.404,0.567,15538,263,245840,242010,39.3,51.1,3,0.5,3.8,0.1,64087,27487,12.2,29.8,18.9,24.1,13.7,13.5,77.7,11.2,3.8,1.2,1.1,5,29.2,246450,83.6,11.2,5.1,0.1,5.1,0.386532437,0,378.2,36180,76990,66943,83695,75524,63419,55530,33423,14702,5462,0,0,0,0,0,0
Adams,NE,"Adams, NE",40.5244942,-98.50117804,31564,14602,10085,4213,0.691,0.289,922,15,15981,15583,9.4,86.9,0.6,0.1,1.3,0,51721,28085,12.4,33.4,19.4,20.4,10.1,16.7,83,9.3,0.7,1.8,1.3,3.9,15.3,15890,78,15.1,6.7,0.1,4.2,3.188470491,0,55.7,2085,4104,4729,3720,3427,3458,4252,3208,1668,860,0,0,0,0,0,0
Adams,PA,"Adams, PA",39.87140411,-77.21610347,101589,56627,37563,18250,0.663,0.322,1184,31,50055,51534,6.8,89.5,1.4,0,0.7,0,62661,29685,8.8,30.1,16.2,22.1,11,20.6,82.3,9.1,0.3,3.7,0.9,3.8,27.6,50561,83.4,10.7,5.6,0.2,4.9,0.97078896,0,195.5,5121,11683,13303,11203,10812,14239,15496,12058,6215,2681,0,0,0,0,0,0
Adams,IL,"Adams, IL",39.98815591,-91.18786813,66787,33434,24131,8569,0.722,0.256,2223,25,32698,34089,1.5,92,3.9,0.2,0.8,0.1,48454,27256,13.1,31.8,17.4,26.1,8.9,15.8,82.6,8.6,0.4,2.3,1.5,4.5,17,32243,83.1,10.6,6.1,0.1,5.5,1.528234125,0,78.5,4145,8169,7593,7977,7452,7809,9256,6862,4077,2351,0,0,0,0,0,0
