,county,state,cases_per_capita_100k,deaths_per_capita_100k,pop_per_sq_mile_2010
0,Snohomish,Washington,0.12164221900000001,0.0,341.8
3,Cook,Illinois,0.019416597,0.0,5495.1
5,Orange,California,0.0314892,0.0,3807.7
8,Maricopa,Arizona,0.022294486000000002,0.0,414.9
9,Los Angeles,California,0.009961045,0.0,2419.6
36,Santa Clara,California,0.051871202000000005,0.0,1381.0
44,Suffolk,Massachusetts,0.124392498,0.0,12415.7
49,San Francisco,California,0.226873379,0.0,17179.1
78,Dane,Wisconsin,0.18291734899999998,0.0,407.7
118,San Diego,California,0.029955097000000003,0.0,735.8
143,Bexar,Texas,0.049911308,0.0,1383.1
198,Douglas,Nebraska,1.7503111180000002,0.0,1574.4
227,Humboldt,California,0.737691615,0.0,37.7
243,Sacramento,California,0.064430582,0.0,1470.8
289,Solano,California,0.22339230100000002,0.0,503.0
295,Spokane,Washington,0.7651138679999999,0.0,267.2
310,Salt Lake,Utah,0.08617443300000001,0.0,1387.1
317,Marin,California,0.38635994799999995,0.0,485.1
318,Napa,California,0.725984435,0.0,182.4
325,Sonoma,California,0.20229155899999998,0.0,307.1
369,Washington,Oregon,0.166225615,0.0,731.4
372,King,Washington,0.044389559,0.0,912.9
399,Alameda,California,0.059832624,0.0,2043.6
411,Hillsborough,Florida,0.067936259,0.0,1204.9
412,Manatee,Florida,0.247983276,0.0,434.5
416,New York City,New York,0.012671584,0.0,69467.5
431,Placer,California,0.25104875600000004,0.0,247.6
435,San Mateo,California,0.13045072,0.0,1602.2
441,Fulton,Georgia,0.187981055,0.0,1748.0
443,Norfolk,Massachusetts,0.141487744,0.0,1693.6
446,Grafton,New Hampshire,1.112520303,0.0,52.2
454,Walla Walla,Washington,1.6458196180000002,0.0,46.3
458,Contra Costa,California,0.08669072,0.0,1465.2
481,Wake,North Carolina,0.08994739,0.0,1078.8
514,Bergen,New Jersey,0.107272887,0.0,3884.5
516,Westchester,New York,0.9302267890000001,0.0,2204.7
520,Fort Bend,Texas,0.123200047,0.0,679.5
522,Chelan,Washington,1.295336788,0.0,24.8
544,Douglas,Colorado,0.284775341,0.0,339.7
545,Jefferson,Colorado,0.171561605,0.0,699.5
548,Santa Rosa,Florida,0.542555327,0.0,149.6
